Dia,Cliente,Conocim.,Contenedor,Envase,Cant.,Volumen,Ubic.,Estado,idcont
2025-02-07,Poka S.A.,NB241152325,ANHR-811434-9,Contenedor,1,0,PLZA,Pendiente,
2025-02-07,Tecma Sa,247693370H,RYKV-738423-3,Contenedor,1,-60,PLZA,Pendiente,
2025-02-07,Tecma Sa,247693370H,EOLK-631909-5,Contenedor,1,-60,PLZA,Pendiente,
2025-02-07,Mac Donald Hermanos ...,BATT4700,ACSI-713957-5,Contenedor,1,-60,PLZA,Pendiente,
2025-02-06,Net Quality S.R.L.,NESHTR2411123,PBJU-886107-2,Contenedor,1,0,PLZA,Pendiente,
2025-02-06,Laboratorio Pyam Sa,EGLV141401050143,PZXM-625854-0,Bultos,448,-21,CTNNAC,Pendiente,1149.0
2025-02-06,Telamania Srl,GILNB241100420,PNHK-775219-1,Contenedor,1,-60,PLZA,Pendiente,
2025-02-06,La Logic Metal De L...,NBOE24011229,VNXA-156889-0,Contenedor,1,0,PLZA,Pendiente,
2025-02-06,Latos Sa,TWLE24110230,GRYH-116326-4,Contenedor,1,0,PLZA,Pendiente,
2025-02-06,Edelweiss Spedition ...,EDWBUE24120002,JCVF-128047-1,Bultos,121,-25,EP-IM,Pendiente,1250.0
2025-02-06,Latos Sa,TWLE24110232,PTGH-992356-2,Contenedor,1,0,PLZA,Pendiente,
2025-02-12,Telamania Srl,GILNB241100422,FZMP-978016-6,Contenedor,1,-60,PLZA,Pendiente,
2025-02-12,Dmc Import Group S.R...,TS2412013,PGWP-983986-6,Contenedor,1,-60,PLZA,Pendiente,
2025-02-12,Latos Sa,NB241152341,SVFK-949660-9,Contenedor,1,0,PLZA,Pendiente,
2025-02-10,Poka S.A.,TS2412053,TOXF-604929-2,Contenedor,1,-60,PLZA,Pendiente,
2025-02-10,Poka S.A.,TS2412053,BLLR-442027-1,Contenedor,1,-60,PLZA,Pendiente,
2025-02-10,Poka S.A.,TS2412053,YNGP-676700-5,Contenedor,1,-60,PLZA,Pendiente,
2025-02-10,Edelweiss Spedition ...,EDWBUE24120005,CDFS-119184-2,Contenedor,1,0,PLZA,Pendiente,
2025-02-10,Grupo Leal-Tex S.R.L...,GILSH241100173,UPXN-019534-5,Contenedor,1,-60,PLZA,Pendiente,
2025-02-10,Ledorot S.A.,GILNB241100419,KMVP-973308-2,Contenedor,1,-60,PLZA,Pendiente,
2025-02-10,JakyMetal S.A.,NBOE24010694,TUZS-306584-1,Contenedor,1,-60,PLZA,Pendiente,
2025-02-10,JakyMetal S.A.,NBOE24010993,WISL-658514-5,Contenedor,1,-60,PLZA,Pendiente,
2025-02-13,Eurovan Brasil S...,MVANES20240712,AFDV-011555-4,Bultos,224,-50,IB7,Pendiente,1246.0
2025-02-13,Indigo Pmp Srl,NBFC2412033,ARVG-017172-0,Contenedor,1,-30,PLZA,Pendiente,
2025-02-13,Espert S.A.,BR775200057,             ,Pallets,40,-40,ANEX-A1,Pendiente,
2025-02-13,Grapot Sa,NBOE24010677,TRIK-909872-4,Contenedor,1,-60,PLZA,Pendiente,
